week,station_id,station_name,country,alpha_obs,alpha_fct,alpha_error,dom_regime_obs,dom_regime_fct,dom_pct_obs,dom_pct_fct,avg_run_obs,avg_run_fct,max_run_obs,max_run_fct,changes_day_obs,changes_day_fct,n_hours_obs,n_hours_fct,alpha_cli,alpha_residual
2026-03-23,braganca,Bragança,PT,0.314,0.504,0.19,W/SW,NE/E,47.7,60.1,5.2,8.5,71,80,4.59,2.74,392,376,0.44,-0.126
2026-03-23,cagliari,Cagliari,IT,0.305,0.484,0.179,N/NW,N/NW,41.3,50.5,6.1,9.4,19,38,3.86,2.49,392,376,0.42,-0.115
2026-03-23,castelo_branco,Castelo Branco,PT,0.336,0.507,0.171,N/NW,N/NW,34.2,55.1,7.5,9.4,43,53,3.12,2.49,392,376,0.4,-0.064
2026-03-23,coimbra,Coimbra,PT,0.25,0.331,0.081,NE/E,NE/E,35.7,42.8,4.9,6.5,31,53,4.84,3.64,392,376,0.41,-0.16
2026-03-23,evora,Évora,PT,0.423,0.519,0.096,N/NW,N/NW,41.6,52.9,8.9,10.2,32,53,2.63,2.3,392,376,0.46,-0.037
2026-03-23,faro,Faro,PT,0.273,0.302,0.029,NE/E,N/NW,36.0,33.5,6.0,6.8,34,52,3.92,3.45,392,376,0.43,-0.157
2026-03-23,nuoro,Nuoro,IT,0.287,0.723,0.436,NE/E,W/SW,41.6,74.7,5.4,13.9,46,64,4.35,1.66,392,376,0.36,-0.073
2026-03-23,sassari,Sassari,IT,0.354,0.35,-0.004,NE/E,W/SW,55.9,34.6,5.1,7.8,35,42,4.65,3.0,392,376,0.39,-0.036
2026-03-23,braganca,Bragança,PT,0.313,0.502,0.189,W/SW,NE/E,47.6,60.0,5.2,8.5,71,80,4.58,2.75,393,375,0.44,-0.127
2026-03-23,cagliari,Cagliari,IT,0.306,0.49,0.184,N/NW,N/NW,41.5,50.4,6.1,9.6,19,38,3.85,2.43,393,375,0.42,-0.114
2026-03-23,cajon_pass,Cajon Pass,US,0.339,0.527,0.188,N/NW,S/SE,55.0,69.4,4.4,7.9,56,129,5.37,2.94,393,375,0.48,-0.141
2026-03-23,castelo_branco,Castelo Branco,PT,0.337,0.505,0.168,N/NW,N/NW,34.4,54.9,7.6,9.4,43,53,3.11,2.5,393,375,0.4,-0.063
2026-03-23,coimbra,Coimbra,PT,0.25,0.331,0.081,NE/E,NE/E,35.7,42.8,4.9,6.5,31,53,4.84,3.64,392,376,0.41,-0.16
2026-03-23,evora,Évora,PT,0.425,0.518,0.093,N/NW,N/NW,41.7,52.8,8.9,10.1,32,53,2.63,2.3,393,375,0.46,-0.035
2026-03-23,faro,Faro,PT,0.273,0.301,0.028,NE/E,NE/E,35.9,33.6,6.0,6.8,34,52,3.91,3.46,393,375,0.43,-0.157
2026-03-23,livermore,Livermore — Altamont Pass,US,0.254,0.378,0.124,NE/E,S/SE,43.3,46.9,2.6,7.0,12,40,9.34,3.33,393,375,0.5,-0.246
2026-03-23,nuoro,Nuoro,IT,0.287,0.722,0.435,NE/E,W/SW,41.5,74.7,5.5,13.9,46,64,4.34,1.66,393,375,0.36,-0.073
2026-03-23,santa_barbara,Santa Barbara — Refugio,US,0.21,0.311,0.101,NE/E,N/NW,35.1,44.7,2.4,5.9,10,18,10.08,3.97,393,375,0.54,-0.33
2026-03-23,sassari,Sassari,IT,0.354,0.356,0.002,NE/E,W/SW,56.0,34.7,5.1,8.0,35,42,4.64,2.94,393,375,0.39,-0.036
2026-03-24,braganca,Bragança,PT,0.299,0.686,0.387,W/SW,NE/E,44.8,70.4,5.2,13.2,71,147,4.59,1.75,397,371,0.44,-0.141
2026-03-24,cagliari,Cagliari,IT,0.331,0.408,0.077,N/NW,N/NW,44.6,49.6,6.3,7.4,19,28,3.75,3.17,397,371,0.42,-0.089
2026-03-24,cajon_pass,Cajon Pass,US,0.327,0.523,0.196,N/NW,S/SE,53.1,62.0,4.2,8.8,56,115,5.68,2.65,397,371,0.48,-0.153
2026-03-24,castelo_branco,Castelo Branco,PT,0.317,0.502,0.185,NE/E,N/NW,33.2,56.3,7.2,9.0,43,54,3.26,2.59,397,371,0.4,-0.083
2026-03-24,evora,Évora,PT,0.372,0.551,0.179,N/NW,N/NW,38.3,53.4,7.9,11.2,32,42,2.96,2.07,397,371,0.46,-0.088
2026-03-24,faro,Faro,PT,0.309,0.442,0.133,NE/E,NE/E,39.3,52.6,6.4,7.9,34,39,3.69,2.98,397,371,0.43,-0.121
2026-03-24,livermore,Livermore — Altamont Pass,US,0.243,0.321,0.078,NE/E,S/SE,41.3,43.9,2.5,6.2,12,42,9.49,3.82,397,371,0.5,-0.257
2026-03-24,nuoro,Nuoro,IT,0.295,0.613,0.318,W/SW,W/SW,44.1,63.9,5.1,11.6,46,63,4.65,2.01,397,371,0.36,-0.065
2026-03-24,santa_barbara,Santa Barbara — Refugio,US,0.215,0.321,0.106,NE/E,N/NW,35.5,42.9,2.5,6.3,14,19,9.37,3.75,397,371,0.54,-0.325
2026-03-24,sassari,Sassari,IT,0.346,0.284,-0.062,NE/E,W/SW,53.9,30.7,5.2,6.7,35,29,4.53,3.49,397,371,0.39,-0.044
2026-03-30,braganca,Bragança,PT,0.321,0.229,-0.092,NE/E,W/SW,51.3,32.2,4.4,4.7,35,32,5.39,5.04,392,376,0.44,-0.119
2026-03-30,cagliari,Cagliari,IT,0.364,0.412,0.048,N/NW,N/NW,53.1,47.1,6.1,7.8,23,66,3.86,3.0,392,376,0.42,-0.056
2026-03-30,cajon_pass,Cajon Pass,US,0.252,0.554,0.302,N/NW,S/SE,39.0,57.0,3.9,10.6,56,55,6.06,2.17,392,376,0.48,-0.228
2026-03-30,castelo_branco,Castelo Branco,PT,0.491,0.427,-0.064,N/NW,N/NW,51.0,48.7,9.6,8.0,88,52,2.45,2.94,392,376,0.4,0.091
2026-03-30,evora,Évora,PT,0.473,0.463,-0.01,N/NW,N/NW,45.9,46.3,9.8,9.4,65,45,2.39,2.49,392,376,0.46,0.013
2026-03-30,faro,Faro,PT,0.366,0.319,-0.047,NE/E,NE/E,48.2,38.0,6.6,6.7,34,50,3.55,3.51,392,376,0.43,-0.064
2026-03-30,livermore,Livermore — Altamont Pass,US,0.251,0.357,0.106,NE/E,W/SW,42.3,45.9,2.7,6.6,19,34,8.82,3.51,392,376,0.5,-0.249
2026-03-30,nuoro,Nuoro,IT,0.356,0.562,0.206,W/SW,W/SW,54.1,56.4,5.9,11.1,65,61,4.04,2.11,392,376,0.36,-0.004
2026-03-30,santa_barbara,Santa Barbara — Refugio,US,0.226,0.472,0.246,NE/E,N/NW,37.0,61.9,2.8,7.4,14,19,8.45,3.13,392,376,0.54,-0.314
2026-03-30,sassari,Sassari,IT,0.431,0.276,-0.155,NE/E,N/NW,44.4,36.2,8.7,6.1,35,25,2.69,3.89,392,376,0.39,0.041
