week,station_id,station_name,country,n_pairs,bias_ws,rmse_ws,mae_ws,bias_wg,rmse_wg,mae_wg,rmse_wd,mae_wd,bias_t,rmse_t,bias_rh,rmse_rh,regime_hit_rate
2026-03-30,braganca,Bragança,PT,167,0.72,4.316,2.808,5.984,13.114,8.443,56.87,36.67,0.419,2.216,-2.856,11.058,0.683
2026-03-30,cagliari,Cagliari,IT,167,-0.099,4.921,3.551,-1.211,10.414,7.472,44.62,25.37,0.249,1.502,0.497,7.192,0.659
2026-03-30,cajon_pass,Cajon Pass,US,167,-4.193,6.421,5.244,-7.838,10.801,8.579,52.37,36.4,-0.353,1.688,-0.407,8.672,0.695
2026-03-30,castelo_branco,Castelo Branco,PT,167,-3.653,6.989,4.682,-6.98,13.539,9.149,32.23,17.5,0.099,1.864,1.317,6.71,0.862
2026-03-30,evora,Évora,PT,167,-0.744,3.109,2.42,-1.508,6.257,4.792,25.82,18.71,-0.313,1.515,2.437,10.107,0.844
2026-03-30,faro,Faro,PT,167,-0.067,3.771,2.681,-0.956,7.024,4.835,35.98,24.55,0.167,1.116,-1.138,11.749,0.766
2026-03-30,livermore,Livermore — Altamont Pass,US,167,0.911,3.354,2.632,-1.503,6.041,4.654,72.17,51.35,-1.659,2.952,4.299,12.425,0.407
2026-03-30,nuoro,Nuoro,IT,167,0.86,4.17,2.939,3.549,11.067,7.941,49.28,31.24,-0.181,1.513,0.102,9.751,0.76
2026-03-30,santa_barbara,Santa Barbara — Refugio,US,167,-0.054,3.838,3.006,-2.404,4.476,3.622,73.25,56.5,1.914,3.621,-26.263,34.318,0.467
2026-03-30,sassari,Sassari,IT,167,-1.238,5.604,3.901,-4.275,9.942,7.617,68.59,46.71,-0.196,1.829,2.743,12.956,0.557
2026-04-06,braganca,Bragança,PT,168,-0.233,2.497,1.82,2.386,6.527,3.983,76.77,56.26,0.291,1.317,0.024,6.661,0.47
2026-04-06,cagliari,Cagliari,IT,168,-0.761,4.487,3.43,-2.346,10.034,7.765,24.61,13.1,-0.371,1.306,1.94,8.255,0.756
2026-04-06,cajon_pass,Cajon Pass,US,168,-4.269,8.342,6.435,-9.844,14.119,11.173,46.76,32.08,-0.657,2.138,2.083,16.49,0.756
2026-04-06,castelo_branco,Castelo Branco,PT,168,-0.777,2.986,1.984,-1.384,5.487,3.966,34.17,19.58,-0.28,1.091,5.054,10.237,0.857
2026-04-06,evora,Évora,PT,168,0.301,2.745,1.984,0.357,4.899,3.713,27.61,17.45,-0.287,1.03,4.696,8.477,0.792
2026-04-06,faro,Faro,PT,168,-0.921,2.893,2.176,-2.327,5.883,4.498,33.29,21.36,0.419,1.275,0.512,12.684,0.756
2026-04-06,livermore,Livermore — Altamont Pass,US,168,0.742,4.317,3.454,-2.099,7.694,5.839,68.17,49.55,-1.54,2.745,-5.113,13.559,0.494
2026-04-06,nuoro,Nuoro,IT,168,0.94,3.388,2.346,2.446,7.87,5.79,42.87,24.06,-0.379,0.978,2.833,7.694,0.851
2026-04-06,santa_barbara,Santa Barbara — Refugio,US,168,-0.925,9.112,6.545,-7.984,16.447,10.242,58.84,42.14,-2.504,3.367,6.03,19.106,0.661
2026-04-06,sassari,Sassari,IT,168,0.467,4.234,3.196,-1.743,8.123,5.938,38.7,26.73,-0.627,1.198,8.28,16.008,0.607
2026-04-13,braganca,Bragança,PT,169,-1.849,5.793,4.382,-0.162,8.308,5.915,64.13,49.24,-0.246,1.673,-1.882,9.861,0.562
2026-04-13,cagliari,Cagliari,IT,169,3.021,5.723,3.659,4.641,10.646,6.684,42.71,23.72,-0.859,1.762,9.503,15.072,0.852
2026-04-13,cajon_pass,Cajon Pass,US,169,-6.697,9.998,8.143,-14.392,18.264,15.22,53.93,32.76,-0.983,1.818,6.781,14.929,0.805
2026-04-13,castelo_branco,Castelo Branco,PT,169,1.122,5.028,3.802,1.822,10.058,7.745,42.74,31.75,0.547,1.627,-5.734,11.749,0.645
2026-04-13,evora,Évora,PT,169,2.625,5.296,4.109,2.86,8.894,6.996,50.41,31.88,0.957,1.904,-9.639,14.264,0.71
2026-04-13,faro,Faro,PT,169,3.513,8.047,5.411,4.036,11.225,7.793,65.15,44.43,0.651,1.888,-2.746,8.775,0.586
2026-04-13,livermore,Livermore — Altamont Pass,US,169,1.727,6.88,5.424,-2.597,12.086,9.008,57.25,41.12,-1.073,2.255,-0.663,13.514,0.609
2026-04-13,nuoro,Nuoro,IT,169,2.541,4.846,3.291,9.859,16.002,10.502,37.75,21.8,-0.983,1.936,4.148,11.035,0.888
2026-04-13,santa_barbara,Santa Barbara — Refugio,US,169,1.437,11.0,8.239,-2.978,17.258,13.204,79.01,59.72,-1.324,3.116,1.515,22.053,0.497
2026-04-13,sassari,Sassari,IT,169,0.299,2.493,1.87,-0.972,6.539,4.876,39.32,26.19,-1.312,2.092,10.012,13.025,0.775
2026-04-20,braganca,Bragança,PT,168,0.157,4.275,2.651,5.596,15.518,8.379,64.66,36.8,-0.298,1.723,2.423,7.38,0.768
2026-04-20,cagliari,Cagliari,IT,168,-1.857,4.405,3.323,-2.848,7.645,5.74,58.59,33.46,0.183,1.119,2.667,7.431,0.589
2026-04-20,cajon_pass,Cajon Pass,US,168,-0.713,6.206,4.618,-4.783,9.838,7.489,72.76,50.11,-2.018,3.038,4.339,16.576,0.661
2026-04-20,castelo_branco,Castelo Branco,PT,168,0.074,2.503,1.832,0.773,4.452,3.238,40.72,24.31,-0.143,1.205,-0.131,6.998,0.798
2026-04-20,evora,Évora,PT,168,0.561,2.932,2.088,1.534,6.116,4.358,68.03,42.01,-0.269,1.241,-2.06,8.116,0.649
2026-04-20,faro,Faro,PT,168,-1.616,3.77,2.507,-3.011,7.161,4.794,45.07,25.96,0.471,0.76,-1.815,7.273,0.589
2026-04-20,livermore,Livermore — Altamont Pass,US,168,1.461,5.179,4.208,1.441,9.141,6.972,66.18,48.14,-3.333,4.773,13.56,22.638,0.565
2026-04-20,nuoro,Nuoro,IT,168,-0.03,2.313,1.651,1.624,5.077,3.727,59.64,36.99,0.202,1.015,3.345,11.848,0.726
2026-04-20,santa_barbara,Santa Barbara — Refugio,US,168,2.842,8.768,6.32,-1.756,11.526,7.527,74.43,56.42,-2.064,3.071,-0.738,24.257,0.506
2026-04-20,sassari,Sassari,IT,168,-0.036,2.278,1.666,-2.282,6.311,4.738,38.0,27.35,-0.451,1.257,8.095,15.218,0.625
